## Mon May 15 12:40:07 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_p4o9b3xj --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_p4o9b3xj --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_p4o9b3xj/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
843_t	3641.EOY25092	0.0	914.0	KOG0666@1|root,KOG0666@2759|Eukaryota,37NQ7@33090|Viridiplantae,3GF7Z@35493|Streptophyta	35493|Streptophyta	T	belongs to the protein kinase superfamily	CDKE-1	GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004693,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007346,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016592,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0031974,GO:0031981,GO:0032991,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0050789,GO:0050794,GO:0051726,GO:0065007,GO:0070013,GO:0071704,GO:0097472,GO:0140096,GO:1901564	2.7.11.22,2.7.11.23	ko:K02208	-	-	-	-	ko00000,ko01000,ko01001,ko03021	-	-	-	Pkinase
844_t	3641.EOY25090	0.0	1030.0	2CMSE@1|root,2QRQ2@2759|Eukaryota,37RDX@33090|Viridiplantae,3GAR6@35493|Streptophyta	35493|Streptophyta	K	Protein NLP7-like isoform X1	-	GO:0001101,GO:0003674,GO:0003700,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006082,GO:0006355,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009414,GO:0009415,GO:0009628,GO:0009889,GO:0009987,GO:0010035,GO:0010118,GO:0010167,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0042126,GO:0042128,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044281,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0071941,GO:0080090,GO:0140110,GO:1901698,GO:1901700,GO:1903506,GO:2000112,GO:2001057,GO:2001141	-	-	-	-	-	-	-	-	-	-	PB1,RWP-RK
845_t	3641.EOY25081	0.0	921.0	COG1215@1|root,2QZE9@2759|Eukaryota,37JEG@33090|Viridiplantae,3GBX0@35493|Streptophyta	35493|Streptophyta	G	Belongs to the glycosyltransferase 2 family	-	GO:0000271,GO:0000278,GO:0000281,GO:0000910,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005975,GO:0005976,GO:0006073,GO:0007049,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009832,GO:0009833,GO:0009987,GO:0012505,GO:0016020,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0016759,GO:0022402,GO:0030243,GO:0030244,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044042,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0046527,GO:0051273,GO:0051274,GO:0051301,GO:0061640,GO:0071554,GO:0071669,GO:0071704,GO:0071840,GO:0071944,GO:1901576,GO:1903047	-	-	-	-	-	-	-	-	-	-	Cellulose_synt
846_t	3641.EOY25077	0.0	1211.0	28JYJ@1|root,2QTME@2759|Eukaryota,37M8F@33090|Viridiplantae,3G932@35493|Streptophyta	35493|Streptophyta	K	Auxin response factors (ARFs) are transcriptional factors that bind specifically to the DNA sequence 5'-TGTCTC-3' found in the auxin-responsive promoter elements (AuxREs)	-	GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1903506,GO:2000112,GO:2001141	-	ko:K14486	ko04075,map04075	-	-	-	ko00000,ko00001	-	-	-	AUX_IAA,Auxin_resp,B3
847_t	3641.EOY25072	1.9e-200	558.0	2CMYX@1|root,2QSUM@2759|Eukaryota,37KXH@33090|Viridiplantae,3GCP2@35493|Streptophyta	35493|Streptophyta	S	B2 protein-like	-	-	-	-	-	-	-	-	-	-	-	-	Dev_Cell_Death
848_t	3641.EOY25069	5.69e-152	439.0	COG0631@1|root,KOG1379@2759|Eukaryota,37U5H@33090|Viridiplantae,3GHV5@35493|Streptophyta	35493|Streptophyta	T	Protein phosphatase 2C 55	-	-	3.1.3.16	ko:K17508	-	-	-	-	ko00000,ko01000,ko01009	-	-	-	SpoIIE
849_t	3641.EOY25067	1.77e-54	180.0	2CGAC@1|root,2S3KG@2759|Eukaryota,37WCC@33090|Viridiplantae,3GK6G@35493|Streptophyta	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
850_t	29730.Gorai.002G131900.1	1.23e-21	95.9	2CM91@1|root,2QPNF@2759|Eukaryota,37SSI@33090|Viridiplantae,3G9UN@35493|Streptophyta	35493|Streptophyta	S	Protein TIC 22, chloroplastic	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009526,GO:0009536,GO:0009941,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	-	-	-	-	-	-	-	-	-	Tic22
851_t	3641.EOY25066	4.82e-153	438.0	28KKF@1|root,2QT1W@2759|Eukaryota,37R8R@33090|Viridiplantae,3G7WF@35493|Streptophyta	35493|Streptophyta	S	F-box protein	-	-	-	-	-	-	-	-	-	-	-	-	F-box,SnoaL_3
852_t	3641.EOY25060	0.0	1670.0	COG0465@1|root,KOG0731@2759|Eukaryota,37JAW@33090|Viridiplantae,3GBSH@35493|Streptophyta	35493|Streptophyta	O	ATP-dependent zinc metalloprotease	-	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0004176,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006508,GO:0006807,GO:0006996,GO:0007275,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009507,GO:0009526,GO:0009528,GO:0009536,GO:0009657,GO:0009658,GO:0009706,GO:0009790,GO:0009791,GO:0009793,GO:0009941,GO:0009987,GO:0010020,GO:0010154,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019538,GO:0019866,GO:0022414,GO:0031090,GO:0031967,GO:0031969,GO:0031975,GO:0032501,GO:0032502,GO:0042170,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043572,GO:0044238,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0048285,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0061458,GO:0070011,GO:0071704,GO:0071840,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	AAA,Peptidase_M41
853_t	3641.EOY25059	0.0	2148.0	2CMUF@1|root,2QS0G@2759|Eukaryota,37JAN@33090|Viridiplantae,3GC37@35493|Streptophyta	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EloA-BP1,PHD,zf-C3HC4_2,zf-RING_2
854_t	3641.EOY25058	2.57e-95	283.0	COG5126@1|root,KOG0034@2759|Eukaryota,37S1X@33090|Viridiplantae,3GDD4@35493|Streptophyta	35493|Streptophyta	T	calcineurin b-like protein	-	GO:0003674,GO:0005488,GO:0005509,GO:0005575,GO:0007154,GO:0007165,GO:0008150,GO:0009987,GO:0016020,GO:0019722,GO:0019932,GO:0023052,GO:0035556,GO:0043167,GO:0043169,GO:0046872,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007	-	ko:K06268	ko04010,ko04020,ko04022,ko04114,ko04218,ko04310,ko04360,ko04370,ko04380,ko04650,ko04658,ko04659,ko04660,ko04662,ko04720,ko04724,ko04921,ko04922,ko04924,ko05010,ko05014,ko05031,ko05152,ko05166,ko05167,map04010,map04020,map04022,map04114,map04218,map04310,map04360,map04370,map04380,map04650,map04658,map04659,map04660,map04662,map04720,map04724,map04921,map04922,map04924,map05010,map05014,map05031,map05152,map05166,map05167	-	-	-	ko00000,ko00001,ko01009	-	-	-	EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7,EF-hand_8
855_t	3641.EOY25055	1.57e-166	482.0	COG5272@1|root,KOG2381@1|root,KOG0001@2759|Eukaryota,KOG2381@2759|Eukaryota,37RMX@33090|Viridiplantae,3G9F1@35493|Streptophyta	35493|Streptophyta	OT	Phosphatidylinositol 4-kinase gamma	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0006950,GO:0006970,GO:0008150,GO:0009628,GO:0009651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0050896	-	-	-	-	-	-	-	-	-	-	PI3_PI4_kinase,ubiquitin
856_t	3656.XP_008457127.1	6.75e-62	224.0	COG2801@1|root,KOG0017@2759|Eukaryota,37RRH@33090|Viridiplantae,3G8MV@35493|Streptophyta,4JM10@91835|fabids	35493|Streptophyta	H	transposition, RNA-mediated	-	-	-	-	-	-	-	-	-	-	-	-	Asp_protease_2,RVT_1,Retrotrans_gag,gag-asp_proteas
859_t	3641.EOY23131	1.74e-111	322.0	COG1881@1|root,KOG3346@2759|Eukaryota,37KY9@33090|Viridiplantae,3G9VP@35493|Streptophyta	35493|Streptophyta	S	CEN-like protein	-	GO:0000003,GO:0003006,GO:0007275,GO:0008150,GO:0009791,GO:0009908,GO:0010228,GO:0022414,GO:0032501,GO:0032502,GO:0048367,GO:0048608,GO:0048731,GO:0048856,GO:0061458,GO:0090567	-	-	-	-	-	-	-	-	-	-	PBP
860_t	3641.EOY23122	0.0	1309.0	28Q5K@1|root,2QWUC@2759|Eukaryota,37S8Q@33090|Viridiplantae,3GBII@35493|Streptophyta	35493|Streptophyta	K	homeobox-leucine zipper protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006349,GO:0006355,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0009314,GO:0009411,GO:0009416,GO:0009605,GO:0009628,GO:0009653,GO:0009664,GO:0009827,GO:0009888,GO:0009889,GO:0009892,GO:0009909,GO:0009911,GO:0009987,GO:0010015,GO:0010053,GO:0010054,GO:0010468,GO:0010556,GO:0010605,GO:0010629,GO:0016043,GO:0016458,GO:0019219,GO:0019222,GO:0021700,GO:0022622,GO:0030154,GO:0031047,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0034641,GO:0040029,GO:0042335,GO:0042545,GO:0042802,GO:0042803,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043473,GO:0043476,GO:0043478,GO:0043479,GO:0043480,GO:0043481,GO:0043565,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0045229,GO:0046483,GO:0046983,GO:0048364,GO:0048468,GO:0048469,GO:0048518,GO:0048519,GO:0048580,GO:0048582,GO:0048731,GO:0048764,GO:0048765,GO:0048831,GO:0048856,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051094,GO:0051171,GO:0051239,GO:0051240,GO:0051252,GO:0060255,GO:0065007,GO:0071514,GO:0071554,GO:0071555,GO:0071669,GO:0071695,GO:0071704,GO:0071840,GO:0080090,GO:0090558,GO:0090627,GO:0097159,GO:0099402,GO:0140110,GO:1901360,GO:1901363,GO:1903506,GO:1905392,GO:2000026,GO:2000112,GO:2000241,GO:2000243,GO:2001141	-	ko:K09338	-	-	-	-	ko00000,ko03000	-	-	-	Homeobox,START
861_t	3641.EOY23121	1.35e-100	295.0	COG2075@1|root,KOG1722@2759|Eukaryota,37RC6@33090|Viridiplantae,3GE6B@35493|Streptophyta	35493|Streptophyta	J	60S ribosomal Protein	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	-	ko:K02896	ko03010,map03010	M00177,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L24e
862_t	3641.EOY23119	1.16e-181	510.0	COG0705@1|root,KOG2289@2759|Eukaryota,37S6H@33090|Viridiplantae,3G799@35493|Streptophyta	35493|Streptophyta	T	Inactive rhomboid protein	-	GO:0000139,GO:0002791,GO:0002792,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005794,GO:0005911,GO:0006928,GO:0008150,GO:0008283,GO:0009506,GO:0009894,GO:0009966,GO:0009987,GO:0010646,GO:0012505,GO:0016020,GO:0016477,GO:0019222,GO:0023051,GO:0030054,GO:0030162,GO:0031090,GO:0031323,GO:0031329,GO:0031984,GO:0032268,GO:0032879,GO:0032880,GO:0040011,GO:0042058,GO:0042175,GO:0042176,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0048519,GO:0048523,GO:0048583,GO:0048870,GO:0050708,GO:0050709,GO:0050789,GO:0050794,GO:0051046,GO:0051048,GO:0051049,GO:0051051,GO:0051171,GO:0051179,GO:0051223,GO:0051224,GO:0051246,GO:0051674,GO:0055044,GO:0060255,GO:0061136,GO:0065007,GO:0070201,GO:0080090,GO:0090087,GO:0098588,GO:0098791,GO:0098827,GO:1901184,GO:1903050,GO:1903362,GO:1903530,GO:1903531,GO:1904950	-	-	-	-	-	-	-	-	-	-	Rhomboid
863_t	3641.EOY23117	1.63e-218	615.0	2CN7C@1|root,2QUBM@2759|Eukaryota,37Q44@33090|Viridiplantae,3GAZP@35493|Streptophyta	35493|Streptophyta	S	IQ-domain	IQD24	-	-	-	-	-	-	-	-	-	-	-	DUF4005,IQ
864_t	4113.PGSC0003DMT400007849	4.7e-16	81.6	COG2124@1|root,KOG0157@2759|Eukaryota,37QH6@33090|Viridiplantae,3G8D0@35493|Streptophyta,44FC2@71274|asterids	35493|Streptophyta	Q	Cytochrome p450	-	GO:0003674,GO:0003824,GO:0004497,GO:0006629,GO:0006694,GO:0007275,GO:0008150,GO:0008152,GO:0008202,GO:0008610,GO:0009058,GO:0010268,GO:0010817,GO:0016125,GO:0016128,GO:0016129,GO:0016131,GO:0016132,GO:0016491,GO:0032501,GO:0032502,GO:0042445,GO:0042446,GO:0042592,GO:0044238,GO:0048856,GO:0048878,GO:0055088,GO:0055114,GO:0065007,GO:0065008,GO:0071704,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617	-	ko:K07437	ko00830,ko01100,map00830,map01100	-	R08390,R08392	RC00723,RC00724	ko00000,ko00001,ko00199	-	-	-	p450
865_t	981085.XP_010092754.1	6.37e-19	89.4	COG2801@1|root,KOG0017@2759|Eukaryota,389QU@33090|Viridiplantae,3GYV2@35493|Streptophyta	35493|Streptophyta	L	Membrane fusion protein Use1	-	-	-	-	-	-	-	-	-	-	-	-	Use1
866_t	2711.XP_006477009.1	5.97e-51	181.0	COG2801@1|root,KOG0017@2759|Eukaryota,37Z7Q@33090|Viridiplantae,3GHI9@35493|Streptophyta	35493|Streptophyta	L	transposition, RNA-mediated	-	-	-	-	-	-	-	-	-	-	-	-	Retrotran_gag_2,Retrotran_gag_3
867_t	4081.Solyc11g062200.1.1	0.0	1187.0	COG2801@1|root,KOG0017@2759|Eukaryota,37THH@33090|Viridiplantae,3GG2K@35493|Streptophyta,44UC5@71274|asterids	35493|Streptophyta	L	Mitochondrial protein	-	-	-	-	-	-	-	-	-	-	-	-	RVT_2,Retrotran_gag_2,Retrotran_gag_3,Retrotrans_gag,gag_pre-integrs,rve,zf-CCHC
868_t	3641.EOY20301	5.79e-301	838.0	28W23@1|root,2R2U1@2759|Eukaryota,37KQ3@33090|Viridiplantae,3GDF3@35493|Streptophyta	35493|Streptophyta	S	Zein-binding	-	-	-	-	-	-	-	-	-	-	-	-	Zein-binding
869_t	3641.EOY20299	9.31e-228	627.0	COG0639@1|root,KOG0371@2759|Eukaryota,37JWZ@33090|Viridiplantae,3G904@35493|Streptophyta	35493|Streptophyta	T	serine threonine-protein phosphatase	-	-	3.1.3.16	ko:K04382	ko03015,ko04013,ko04071,ko04111,ko04113,ko04114,ko04136,ko04138,ko04140,ko04151,ko04152,ko04261,ko04350,ko04390,ko04391,ko04530,ko04728,ko04730,ko05142,ko05160,ko05165,map03015,map04013,map04071,map04111,map04113,map04114,map04136,map04138,map04140,map04151,map04152,map04261,map04350,map04390,map04391,map04530,map04728,map04730,map05142,map05160,map05165	-	-	-	ko00000,ko00001,ko01000,ko01009,ko03036,ko04147	-	-	-	Metallophos
870_t	3641.EOY20295	1.15e-15	77.4	COG0212@1|root,KOG3093@2759|Eukaryota,37Q2I@33090|Viridiplantae,3G7T4@35493|Streptophyta	35493|Streptophyta	H	Belongs to the 5-formyltetrahydrofolate cyclo-ligase family	-	GO:0003674,GO:0003824,GO:0006082,GO:0006575,GO:0006725,GO:0006730,GO:0006732,GO:0006760,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009396,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0016882,GO:0018130,GO:0019438,GO:0019752,GO:0030272,GO:0034641,GO:0035999,GO:0042398,GO:0042558,GO:0042559,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046394,GO:0046483,GO:0046653,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	6.3.3.2	ko:K01934	ko00670,ko01100,map00670,map01100	-	R02301	RC00183	ko00000,ko00001,ko01000	-	-	-	5-FTHF_cyc-lig
872_t	2711.XP_006490240.1	1.04e-91	278.0	COG0184@1|root,KOG0400@2759|Eukaryota,37TYW@33090|Viridiplantae,3GBY4@35493|Streptophyta	35493|Streptophyta	J	Belongs to the universal ribosomal protein uS15 family	-	-	-	ko:K02953	ko03010,map03010	M00177	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S13_N,Ribosomal_S15
873_t	3641.EOY22946	7.05e-138	393.0	KOG3238@1|root,KOG3238@2759|Eukaryota,37T44@33090|Viridiplantae,3GF2N@35493|Streptophyta	35493|Streptophyta	P	Chloride conductance regulatory protein	-	-	-	ko:K05019	ko03013,map03013	-	-	-	ko00000,ko00001,ko04040	1.A.47	-	-	Voldacs
874_t	29730.Gorai.008G284600.1	2.39e-24	104.0	COG2124@1|root,KOG0156@2759|Eukaryota,37THY@33090|Viridiplantae,3GGKH@35493|Streptophyta	35493|Streptophyta	Q	Belongs to the cytochrome P450 family	-	-	1.14.14.19,1.14.14.32	ko:K00512	ko00140,ko01100,ko04913,ko04917,ko04927,ko04934,map00140,map01100,map04913,map04917,map04927,map04934	M00109,M00110	R02211,R03783,R04852,R04853,R08517,R08518	RC00607,RC00660,RC00923,RC01222	ko00000,ko00001,ko00002,ko00199,ko01000	-	-	-	p450
875_t	3641.EOY22942	2.94e-290	817.0	COG2124@1|root,KOG0156@2759|Eukaryota,37THY@33090|Viridiplantae,3GGKH@35493|Streptophyta	35493|Streptophyta	Q	Belongs to the cytochrome P450 family	-	-	1.14.14.19,1.14.14.32	ko:K00512	ko00140,ko01100,ko04913,ko04917,ko04927,ko04934,map00140,map01100,map04913,map04917,map04927,map04934	M00109,M00110	R02211,R03783,R04852,R04853,R08517,R08518	RC00607,RC00660,RC00923,RC01222	ko00000,ko00001,ko00002,ko00199,ko01000	-	-	-	p450
876_t	29730.Gorai.006G064700.1	2.13e-70	218.0	COG0051@1|root,KOG0900@2759|Eukaryota,37UMJ@33090|Viridiplantae,3GIN0@35493|Streptophyta	35493|Streptophyta	J	40S ribosomal protein	-	GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0005840,GO:0005844,GO:0005911,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009506,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0019538,GO:0022626,GO:0022627,GO:0030054,GO:0030312,GO:0031974,GO:0031981,GO:0032991,GO:0034641,GO:0034645,GO:0042788,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0055044,GO:0070013,GO:0071704,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	5.1.3.6	ko:K02969,ko:K08679	ko00520,ko01100,ko03010,map00520,map01100,map03010	M00177	R01385	RC00289	br01610,ko00000,ko00001,ko00002,ko01000,ko03011	-	-	-	Ribosomal_S10
877_t	3641.EOY22933	4.17e-237	652.0	2CMDU@1|root,2QQ2C@2759|Eukaryota,37M2V@33090|Viridiplantae,3GBRM@35493|Streptophyta	35493|Streptophyta	S	EXORDIUM-like	-	GO:0005575,GO:0005618,GO:0005623,GO:0005911,GO:0008150,GO:0009505,GO:0009506,GO:0009628,GO:0030054,GO:0030312,GO:0044464,GO:0050896,GO:0055044,GO:0071944,GO:0080167	-	-	-	-	-	-	-	-	-	-	Phi_1
878_t	3641.EOY22931	4.86e-51	174.0	COG0339@1|root,KOG2090@2759|Eukaryota,37UST@33090|Viridiplantae,3GJAA@35493|Streptophyta	35493|Streptophyta	O	Protein LOW PSII ACCUMULATION 2	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009534,GO:0009536,GO:0009579,GO:0031976,GO:0031984,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	-	-	-	-	-	-	-	-	-	-
880_t	29730.Gorai.006G064300.1	5.85e-282	812.0	KOG0606@1|root,KOG0606@2759|Eukaryota,37JGQ@33090|Viridiplantae,3GFJN@35493|Streptophyta	35493|Streptophyta	T	serine threonine protein kinase IRE	-	GO:0000902,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005622,GO:0005623,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009653,GO:0009826,GO:0009987,GO:0016043,GO:0016049,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018105,GO:0018193,GO:0018209,GO:0019538,GO:0023052,GO:0032502,GO:0032989,GO:0035556,GO:0036211,GO:0040007,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0048589,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0060560,GO:0065007,GO:0071704,GO:0071840,GO:0140096,GO:1901564	2.7.11.1	ko:K08789	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	Pkinase
881_t	3641.EOY22927	2.93e-203	598.0	KOG0606@1|root,KOG0606@2759|Eukaryota,37JGQ@33090|Viridiplantae,3GFJN@35493|Streptophyta	35493|Streptophyta	T	serine threonine protein kinase IRE	-	GO:0000902,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005622,GO:0005623,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009653,GO:0009826,GO:0009987,GO:0016043,GO:0016049,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018105,GO:0018193,GO:0018209,GO:0019538,GO:0023052,GO:0032502,GO:0032989,GO:0035556,GO:0036211,GO:0040007,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0048589,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0060560,GO:0065007,GO:0071704,GO:0071840,GO:0140096,GO:1901564	2.7.11.1	ko:K08789	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	Pkinase
882_t	3641.EOY22926	2.93e-166	468.0	COG5147@1|root,KOG0048@2759|Eukaryota,37RSA@33090|Viridiplantae,3GE1T@35493|Streptophyta	35493|Streptophyta	K	Myb-like DNA-binding domain	-	-	-	ko:K09422	-	-	-	-	ko00000,ko03000	-	-	-	Myb_DNA-binding
884_t	3641.EOY05655	9.86e-48	176.0	COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae,3G8BW@35493|Streptophyta	35493|Streptophyta	E	Uncharacterized protein K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	G-patch,RVT_1,RVT_3,Retrotrans_gag,rve
886_t	3641.EOY27000	1.09e-14	76.6	2CZSX@1|root,2SBJA@2759|Eukaryota,3832R@33090|Viridiplantae	33090|Viridiplantae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
889_t	3641.EOY23131	1.74e-111	322.0	COG1881@1|root,KOG3346@2759|Eukaryota,37KY9@33090|Viridiplantae,3G9VP@35493|Streptophyta	35493|Streptophyta	S	CEN-like protein	-	GO:0000003,GO:0003006,GO:0007275,GO:0008150,GO:0009791,GO:0009908,GO:0010228,GO:0022414,GO:0032501,GO:0032502,GO:0048367,GO:0048608,GO:0048731,GO:0048856,GO:0061458,GO:0090567	-	-	-	-	-	-	-	-	-	-	PBP
